bilgi_id,mekan_id,baslik,kisa_metin,detay_metin,kaynak,gorsel_dosyasi,kullaniciya_gosterilsin_mi
bilgi_014,meydan_cami,Meydan Cami,Harput merkez/meydan çevresinde değerlendirilecek cami duraklarından biridir.,"Meydan Cami, kullanıcının merkez dokusunu anlaması için kısa anlatı noktası olarak kullanılabilir.",Yerel envanter; saha levhası doğrulanacak,meydan_cami.jpg,Hayır
bilgi_015,cimsit_bey_hamami,Cimşit Bey Hamamı,Osmanlı dönemi sosyal yaşamını anlatmak için uygun hamam yapılarından biridir.,"Cimşit Bey Hamamı, hamam kültürü ve tarihî sosyal yaşam anlatısı için genişletilmiş rota durağıdır.",Kültür Portalı; Elazığ İl Kültür ve Turizm Müdürlüğü; saha levhası doğrulanacak,cimsit_bey_hamami.jpg,Hayır
bilgi_016,kale_hamami,Kale Hamamı,Kale çevresindeki hamam kalıntısı veya tarihî yapı durağıdır.,"Kale Hamamı, kale çevresindeki gündelik yaşam izlerini anlatmak için kullanılabilir. Konum ve erişim sahada doğrulanmalıdır.",Yerel envanter; saha gözlemi; saha levhası doğrulanacak,kale_hamami.jpg,Hayır
bilgi_017,kale_zindani,Kale Zindanı,Kale içi gizem ve güvenlik temalı görev noktasıdır.,"Kale Zindanı, oyunlaştırma açısından güçlüdür; ancak yalnızca güvenli alandan deneyim tasarlanmalıdır.",Saha gözlemi; yerel envanter; güvenlik doğrulaması,kale_zindani.jpg,Hayır
bilgi_018,dabakhane_mescidi,Dabakhane Mescidi,Alternatif tarihî mescit noktasıdır.,"Dabakhane Mescidi, genişletilmiş rota içinde kısa ve saygılı bilgi durağı olarak kullanılabilir.",Yerel envanter; saha levhası doğrulanacak,dabakhane_mescidi.jpg,Hayır
bilgi_019,imam_efendi_turbesi,İmam Efendi Türbesi,Harput'taki manevi rota duraklarından biridir.,"İmam Efendi Türbesi, türbe alanı hassasiyeti nedeniyle kısa, tarafsız ve saygılı anlatımla kullanılmalıdır.",Yerel envanter; saha levhası doğrulanacak,imam_efendi_turbesi.jpg,Hayır
bilgi_020,mansur_baba_turbesi,Mansur Baba Türbesi,Harput'taki türbe duraklarından biridir.,"Mansur Baba Türbesi, manevi ve kültürel rota içinde kısa bilgi kartı ile temsil edilebilir.",Yerel envanter; harita kaydı; saha levhası doğrulanacak,mansur_baba_turbesi.jpg,Hayır
bilgi_021,musa_kazim_efendi_turbesi,Musa Kazım Efendi Türbesi,Meteris Mezarlığı çevresinde değerlendirilen türbe noktalarından biridir.,"Musa Kazım Efendi Türbesi, türbe ve mezarlık alanı hassasiyeti nedeniyle sessiz ve kısa anlatımla kullanılmalıdır.",Yerel kaynaklar; saha levhası doğrulanacak,musa_kazim_efendi_turbesi.jpg,Hayır
bilgi_022,fatih_ahmet_baba_turbesi,Fatih Ahmet Baba Türbesi,Harput çevresindeki alternatif türbe noktalarından biridir.,"Fatih Ahmet Baba Türbesi, geniş rota içinde manevi durak olarak kullanılabilir.",Yerel envanter; saha levhası doğrulanacak,fatih_ahmet_baba_turbesi.jpg,Hayır
bilgi_023,anguzu_baba_turbesi,Anguzu Baba Türbesi,Harput çevresindeki alternatif türbe noktalarından biridir.,"Anguzu Baba Türbesi, genişletilmiş rotada kısa bilgi kartı ile yer alabilir. Konum doğrulaması gerekir.",Yerel envanter; saha levhası doğrulanacak,anguzu_baba_turbesi.jpg,Hayır
bilgi_024,buzluk_magarasi,Buzluk Mağarası,Harput çevresindeki doğal ve tarihî ilgi noktalarından biridir.,"Buzluk Mağarası, doğal alan ve güvenlik uyarısı gerektiren ek rota noktası olarak değerlendirilmelidir.",Kültür Portalı; turizm tanıtım kaynakları; saha güvenlik gözlemi,buzluk_magarasi.jpg,Hayır
bilgi_025,olbe_vadisi,Ölbe Vadisi,Harput çevresindeki doğal alanlardan biridir.,"Ölbe Vadisi, ek rota ve doğal keşif noktası olarak kullanılabilir; yürüyüş güvenliği ve erişim kontrol edilmelidir.",Yerel turizm kaynakları; saha gözlemi,olbe_vadisi.jpg,Hayır
bilgi_026,surp_hagop_kilisesi,Surp Hagop Kilisesi,Harput'un çok kültürlü mirasını temsil eden kilise duraklarından biridir.,"Surp Hagop Kilisesi, güvenli mesafeden kültürel miras bilgilendirmesi için kullanılmalıdır.",Yerel envanter; kültürel miras kaynakları; saha doğrulaması,surp_hagop_kilisesi.jpg,Hayır
bilgi_027,surp_garabet_kilisesi,Surp Garabet Kilisesi / Kızıl Kilise,Harput'un çok kültürlü mirasını temsil eden kilise duraklarından biridir.,"Surp Garabet Kilisesi, çok kültürlü tarih anlatımında final veya geniş rota durağı olarak kullanılabilir.",Yerel envanter; kültürel miras kaynakları; saha doğrulaması,surp_garabet_kilisesi.jpg,Hayır
